name,address,city,state,zipcode,phone,email,url
BAR 7,1015 1/2 7TH ST NW ,Washington,DC,20001,202 347 4343,INFO@BAR7DC.COM.,http://bar7dc.com/home.html
Ibiza ,1222 First St NE,Washington,DC,20002,202 842 4780,info@ibizadc.com,http://ibizadc.com/photo-gallery/
 Rose Bar,1215 Connecticut Ave NW,Washington,DC,20036, 202 955 5525,Info@RoseBarlounge.com,http://rosebarlounge.com/
Stadium Club,2127 queens chapel RD NE,Washington,DC,,  202 269 4477,Info@StadiumclubDC.com,http://stadiumclubdc.com/club/
LUX Lounge,649 New York Ave NW,Washington,DC,20001,202 347 8100,Info@Luxlounge.com,"
http://luxloungedc.com/main/"
Lima Lounge,1401 K St NW,Washington,DC,20005,202 789 2000,info@FujiMarRestaurant.com,http://www.fujimarrestaurant.com/home/
Ultra Bar,911 F ST NW,Washington,DC,20004,202 638 4663,Info@UltraBar.com,http://www.ultrabardc.com/
Loutuis Lounge,1420 K St NW,Washington,DC,20005,202 289 4222,Info@LoutuisLoungedc.com,http://lotusloungedc.com/
9;30,815 V ST NW,Washington,DC,20001,202 265 0930,human@930.com,http://www.930.com/
Eden ,1716 I St NW,Washington,DC,20006,202 905 9300,INFO@Edendc.com,http://www.edendc.com/
Dc  Night Club,1301 k St NW SUITE 103,Washington,DC,20005,202.962.3933,info@CapitaleofDC.com,http://www.capitaleofdc.com/
Black Cat,,Washington,DC,20009,202 667 4490,Info@blackcatdc.com,http://www.blackcatdc.com/
Josephine,1008 Vermont Ave NW,Washington,DC,20005,202 347 8607,INfo@Josephinedc.com,http://www.josephinedc.com/
BarCode DC,1101 17th St NW,Washington,DC,20036,202-955-9001,info@barcodedc.com,http://www.barcodedc.com/
Dirty Martini ,1223 Connecticut Ave NW,Washington,DC,20036,202 503 2640,info@dirtymartinidc.com,http://www.dirtymartinidc.com/
EchoStage,2135 Queens Chapel RD,Washington,DC,20018,202 503 2330,INfo@Echostagedc.com,http://www.echostage.com/
